Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/23/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,91.3,91.6,91.9,92.3,92.6,92.9,93.2,93.6,93.9,94.2,94.5,94.9,95.2,95.5,95.8,96.2,96.5,96.8,97.1,97.4,97.8,98.1,98.1,98.1,98.1,
Afghanistan,AFG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,21.3,21.4,21.4,21.5,23.3,25,26.8,28.5,30.3,32,33.8,35.5,37.3,39.1,40.8,42.6,44.4,46.2,48,49.8,51.6,53.4,55.2,55.3,
Angola,AGO,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,45.8,45.8,45.9,46.3,46.1,45.9,45.8,45.7,45.7,45.7,45.7,45.7,45.8,45.9,46,46.2,46.4,46.6,46.9,47.1,47.5,47.8,48.2,48.6,49,
Albania,ALB,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.7,95.7,95.7,95.8,95.8,95.9,96.1,96.2,96.1,96.1,96.1,96,96,95.9,95.8,95.7,95.6,95.5,95.4,95.2,95.1,95.1,
Andorra,AND,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Arab World,ARB,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.35749704,83.64335842,83.62474854,82.03648369,82.10200995,82.25573531,82.33793382,82.35549927,82.42421151,82.47996062,82.5519164,82.60741183,82.8948465,82.96426432,83.06144326,83.13395254,83.21729594,83.31158151,83.36635493,83.49364448,83.56358106,83.79721651,85.43961957,87.88948634,87.87599293,92.0840458,
United Arab Emirates,ARE,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,
Argentina,ARG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.8,94.1,94.3,94.6,94.9,95.1,95.4,95.6,95.8,96.1,96.3,96.5,96.7,96.9,97.1,97.3,97.5,97.7,97.9,98.1,98.2,98.4,98.6,98.8,98.9,99.1,
Armenia,ARM,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,90.7,90.6,90.5,90.5,91,91.5,92.1,92.6,93.1,93.7,94.3,94.9,95.5,96.1,96.7,97.3,97.9,98.4,99,99.7,99.9,100,100,
American Samoa,ASM,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6,94,94.4,94.8,95.3,95.7,96.1,96.5,96.9,97.4,97.8,98.2,98.6,99,99.4,99.9,100,100,100,100,100,100,100,100,100,100,
Antigua and Barbuda,ATG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4,97.5,97.5,97.5,97.5,97.6,97.6,97.6,97.6,97.7,97.7,97.7,97.7,97.8,97.8,97.8,97.8,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,
Australia,AUS,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Austria,AUT,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Azerbaijan,AZE,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,69,68.9,68.8,69.5,70.2,70.9,71.7,72.4,73.2,74.1,75,75.8,76.7,77.6,78.5,79.3,80.2,81,81.9,82.8,83.6,84.5,85.3,86.2,87,
Burundi,BDI,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8,69.1,69.4,69.7,70,70.3,70.6,70.9,71.2,71.5,71.8,72.1,72.4,72.7,73,73.3,73.5,73.8,74.1,74.4,74.7,75,75.3,75.5,75.8,75.9,
Belgium,BEL,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Benin,BEN,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,58.1,59.1,59.9,60.8,61.7,62.6,63.4,64.3,65.1,66,66.9,67.7,68.6,69.4,70.3,71.1,72,72.8,73.7,74.5,75.3,76.2,77,77.8,77.9,
Burkina Faso,BFA,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6,43.7,45.4,47.2,49,50.7,52.5,54.3,56.2,58,59.9,61.8,63.6,65.4,67.3,69.1,71,72.8,74.6,76.4,78.2,80,81.7,81.9,82.1,82.3,
Bangladesh,BGD,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1,68.9,69.7,70.5,71.3,72.1,72.9,73.6,74.4,75.2,76,76.7,77.5,78.3,79.1,79.8,80.6,81.3,82,82.7,83.5,84.2,84.8,85.5,86.2,86.9,
Bulgaria,BGR,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.8,99.8,99.8,99.7,99.7,99.7,99.7,99.6,99.6,99.6,99.6,99.6,99.5,99.5,99.5,99.5,99.5,99.4,99.4,
Bahrain,BHR,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,94.9,94.9,94.9,95.4,96,96.6,97.1,97.7,98.3,98.9,99.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"Bahamas, The",BHS,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,96.3,96.3,96.3,96.3,96.3,96.4,96.6,96.7,96.9,97,97.2,97.3,97.5,97.6,97.8,97.9,98.1,98.2,98.4,98.4,98.4,98.4,
Bosnia and Herzegovina,BIH,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.3,97.5,97.7,97.8,98,98.2,98.3,98.5,98.7,98.8,99,99.2,99.4,99.5,99.7,99.9,99.9,
Belarus,BLR,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.6,99.6,99.6,99.6,99.6,99.6,99.7,99.7,99.7,99.7,
Belize,BLZ,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9,74.1,75.3,76.5,77.8,79,80.2,81.4,82.7,83.9,85.1,86.3,87.5,88.7,89.9,91.1,92.3,93.5,94.7,96,97.2,98.5,99.3,99.5,99.5,99.5,
Bermuda,BMU,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,69.5,70.8,71.8,72.9,73.9,74.9,75.8,76.7,77.7,78.6,79.5,80.3,81.2,82.1,82.9,83.7,84.6,85.4,86.2,86.9,87.7,88.5,89.2,90,90,
